Metoda,Dlugosc kroku,x0(1),x0(2),x(1),x(2),y*,f_calls,Minimum Globalne
Hooke-Jeeves,1,0.658422,0.939814,-9.35799e-07,1.21691e-07,2.83567e-11,194,TAK,
Hooke-Jeeves,1,0.220994,-0.170003,-0.774715,0.774715,1.23967,155,NIE,
Hooke-Jeeves,1,0.011247,0.685122,-5.90612e-07,0.774716,0.619837,173,NIE,
Hooke-Jeeves,1,-0.170718,0.850605,0.774717,0.774715,1.23967,205,NIE,
Hooke-Jeeves,1,0.599404,-0.224231,9.24503e-07,0.774716,0.619837,189,NIE,
Hooke-Jeeves,1,-0.351658,-0.187722,1.16986e-07,0.774716,0.619837,419,NIE,
Hooke-Jeeves,1,0.984264,0.453107,-2.26233e-07,0.774715,0.619837,220,NIE,
Hooke-Jeeves,1,0.091029,0.454986,7.39035e-07,0.774715,0.619837,219,NIE,
Hooke-Jeeves,1,-0.50148,-0.964879,-3.76664e-07,7.07153e-07,2.0441e-11,184,TAK,
Hooke-Jeeves,1,-0.754949,-0.567268,-0.774715,0.774716,1.23967,197,NIE,
Hooke-Jeeves,1,0.792223,0.307502,0.774716,-0.774716,1.23967,198,NIE,
Hooke-Jeeves,1,-0.895842,0.0704273,-5.94955e-07,3.8052e-07,1.5882e-11,205,TAK,
Hooke-Jeeves,1,0.0164642,-0.166577,-7.23788e-08,0.774716,0.619837,175,NIE,
Hooke-Jeeves,1,-0.12777,-0.530239,0.774715,0.774716,1.23967,404,NIE,
Hooke-Jeeves,1,-0.170301,-0.0674695,0.774715,-8.54421e-07,0.619837,203,NIE,
Hooke-Jeeves,1,0.212858,-0.0303518,-0.774716,-2.07528e-07,0.619837,190,NIE,
Hooke-Jeeves,1,0.834427,0.150971,0.774716,7.24167e-07,0.619837,196,NIE,
Hooke-Jeeves,1,0.783494,0.905075,0.774715,-2.70845e-07,0.619837,191,NIE,
Hooke-Jeeves,1,0.956465,0.898897,5.63258e-07,-3.51683e-07,1.40408e-11,188,TAK,
Hooke-Jeeves,1,0.72806,-0.323561,0.774716,-3.23357e-07,0.619837,229,NIE,
Hooke-Jeeves,1,-0.665016,-0.151676,0.774716,0.774716,1.23967,369,NIE,
Hooke-Jeeves,1,0.627194,0.0152095,8.627e-07,2.70857e-07,2.6035e-11,176,TAK,
Hooke-Jeeves,1,-0.969642,-0.391869,4.93424e-07,-7.58999e-07,2.60965e-11,180,TAK,
Hooke-Jeeves,1,0.835335,-0.294639,0.774715,0.774716,1.23967,174,NIE,
Hooke-Jeeves,1,0.800765,-0.45257,0.774716,4.38646e-07,0.619837,222,NIE,
Hooke-Jeeves,1,-0.963816,0.285082,-7.70986e-07,-0.774715,0.619837,186,NIE,
Hooke-Jeeves,1,0.982154,0.565747,-4.29141e-07,-8.51618e-07,2.89582e-11,222,TAK,
Hooke-Jeeves,1,0.428372,-0.432297,0.774716,-2.38608e-07,0.619837,199,NIE,
Hooke-Jeeves,1,-0.102437,0.973917,-5.62381e-07,2.91316e-07,1.27733e-11,210,TAK,
Hooke-Jeeves,1,0.791701,-0.73538,0.774716,-0.774715,1.23967,180,NIE,
Hooke-Jeeves,1,-0.193734,0.329213,0.774716,0.774716,1.23967,184,NIE,
