Metoda,Dlugosc kroku,x0(1),x0(2),x(1),x(2),y*,f_calls,Minimum Globalne
Hooke-Jeeves,0.1,0.778171,-0.437371,0.774716,-2.23719e-07,0.619837,187,NIE,
Hooke-Jeeves,0.1,0.844679,0.284893,0.774716,-6.7564e-07,0.619837,205,NIE,
Hooke-Jeeves,0.1,-0.172826,0.592614,-3.77029e-07,0.774715,0.619837,180,NIE,
Hooke-Jeeves,0.1,0.992017,-0.412993,0.774715,-1.46921e-07,0.619837,183,NIE,
Hooke-Jeeves,0.1,-0.983406,0.121258,-0.774716,-9.81197e-08,0.619837,174,NIE,
Hooke-Jeeves,0.1,-0.540893,0.935637,-0.774716,0.774716,1.23967,194,NIE,
Hooke-Jeeves,0.1,0.147748,0.345237,7.54065e-08,-4.95037e-07,7.9845e-12,166,TAK,
Hooke-Jeeves,0.1,-0.348237,0.834229,3.97728e-07,0.774715,0.619837,179,NIE,
Hooke-Jeeves,0.1,0.797907,-0.0720378,0.774716,5.1227e-07,0.619837,175,NIE,
Hooke-Jeeves,0.1,-0.623345,0.312909,-0.774716,-2.20599e-07,0.619837,184,NIE,
Hooke-Jeeves,0.1,0.591781,-0.489488,0.774715,-0.774716,1.23967,178,NIE,
Hooke-Jeeves,0.1,0.107594,0.889889,-3.17213e-07,0.774715,0.619837,177,NIE,
Hooke-Jeeves,0.1,0.175305,-0.257846,-4.75219e-07,-2.73075e-08,7.2149e-12,183,TAK,
Hooke-Jeeves,0.1,0.262633,0.791025,3.52217e-08,0.774716,0.619837,183,NIE,
Hooke-Jeeves,0.1,0.174099,-0.393423,-6.30695e-07,2.99264e-07,1.5518e-11,191,TAK,
Hooke-Jeeves,0.1,0.792544,-0.0807138,0.774716,6.04164e-07,0.619837,167,NIE,
Hooke-Jeeves,0.1,-0.267791,-0.798773,-5.41851e-07,-0.774716,0.619837,187,NIE,
Hooke-Jeeves,0.1,-0.434704,-0.292011,5.52765e-07,7.14634e-07,2.59914e-11,201,TAK,
Hooke-Jeeves,0.1,-0.872306,0.71705,-0.774716,0.774716,1.23967,179,NIE,
Hooke-Jeeves,0.1,0.663544,0.343052,0.774715,-1.85162e-07,0.619837,189,NIE,
Hooke-Jeeves,0.1,0.131083,-0.124916,3.97203e-07,1.76128e-07,6.01164e-12,162,TAK,
Hooke-Jeeves,0.1,0.473579,0.593029,0.774716,0.774716,1.23967,172,NIE,
Hooke-Jeeves,0.1,-0.81082,-0.709576,-0.774715,-0.774716,1.23967,177,NIE,
Hooke-Jeeves,0.1,-0.543184,-0.0391619,-0.774716,-1.76796e-07,0.619837,173,NIE,
Hooke-Jeeves,0.1,0.998265,-0.0920898,0.774716,7.66816e-08,0.619837,158,NIE,
Hooke-Jeeves,0.1,0.159902,0.439759,2.21948e-07,0.774716,0.619837,185,NIE,
Hooke-Jeeves,0.1,-0.269886,-0.575089,3.61909e-07,-0.774716,0.619837,172,NIE,
Hooke-Jeeves,0.1,0.836871,0.516605,0.774716,0.774716,1.23967,165,NIE,
Hooke-Jeeves,0.1,0.0855424,-0.361659,7.06597e-08,6.2301e-07,1.25184e-11,185,TAK,
Hooke-Jeeves,0.1,0.232141,-0.36058,3.36253e-07,-5.85255e-07,1.45071e-11,208,TAK,
