Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Rosenbrock;1;-0.811315;0.839514;-0.774717;0.774717;153;1,23967; ;NIE
Rosenbrock;1;-0.908488;-0.96057;-5.02062e-07;-9.01557e-07;355;3,39082e-11; ;NIE
Rosenbrock;1;-0.29143;0.951423;-1.70176e-06;4.48442e-08;203;9,22791e-11; ;NIE
Rosenbrock;1;-0.725146;0.522913;-0.774717;7.49896e-07;171;0,619837; ;NIE
Rosenbrock;1;0.78877;0.0255176;0.774715;6.66169e-07;195;0,619837; ;NIE
Rosenbrock;1;-0.840341;-0.983772;-6.18766e-07;-1.38144e-06;133;7,29596e-11; ;NIE
Rosenbrock;1;-0.671029;-0.701254;-0.774717;-0.774715;243;1,23967; ;NIE
Rosenbrock;1;0.798195;-0.0213641;0.774716;-1.46891e-06;203;0,619837; ;NIE
Rosenbrock;1;-0.905966;-0.339535;-7.67664e-07;0.774717;167;0,619837; ;NIE
Rosenbrock;1;0.880117;0.240914;0.774716;-7.96063e-07;181;0,619837; ;NIE
Rosenbrock;1;-0.654269;0.218447;-0.774717;-1.67112e-06;195;0,619837; ;NIE
Rosenbrock;1;-0.312426;0.137408;0.774716;-5.72493e-07;207;0,619837; ;NIE
Rosenbrock;1;-0.301635;-0.34136;-4.5305e-07;-4.06534e-07;231;1,17986e-11; ;NIE
Rosenbrock;1;-0.419117;0.904629;0.774715;0.774716;199;1,23967; ;NIE
Rosenbrock;1;-0.291806;0.11946;0.774715;1.82774e-07;211;0,619837; ;NIE
Rosenbrock;1;0.100179;-0.0356229;-7.2214e-07;9.81656e-07;163;4,72904e-11; ;NIE
Rosenbrock;1;0.821433;0.194963;0.774717;5.87834e-07;229;0,619837; ;NIE
Rosenbrock;1;-0.945282;0.597828;3.50906e-07;9.25173e-07;123;3,11764e-11; ;NIE
Rosenbrock;1;-0.253124;0.636664;0.774716;-1.56747e-06;201;0,619837; ;NIE
Rosenbrock;1;-0.285769;0.291373;5.90606e-07;5.80813e-07;277;2,18492e-11; ;NIE
Rosenbrock;1;0.828948;0.104437;0.774716;6.12426e-07;173;0,619837; ;NIE
Rosenbrock;1;-0.712606;0.0739275;-0.774715;7.20041e-07;225;0,619837; ;NIE
Rosenbrock;1;0.412555;-0.410511;2.74779e-07;-1.09926e-06;189;4,0882e-11; ;NIE
Rosenbrock;1;0.533445;-0.466254;-8.85616e-07;9.48467e-07;163;5,36198e-11; ;NIE
Rosenbrock;1;-0.81988;-0.212224;-0.774715;0.774717;145;1,23967; ;NIE
Rosenbrock;1;-0.483677;-0.402565;1.00952e-06;-3.7317e-07;213;3,6886e-11; ;NIE
Rosenbrock;1;-0.329484;-0.387725;0.774716;0.774717;195;1,23967; ;NIE
Rosenbrock;1;-0.995407;-0.569968;-7.74112e-07;-0.774715;279;0,619837; ;NIE
Rosenbrock;1;0.507019;-0.149002;-5.45042e-07;4.6702e-07;149;1,64047e-11; ;NIE
Rosenbrock;1;0.890142;0.510439;0.774716;-7.75779e-07;213;0,619837; ;NIE
Rosenbrock;1;0.116508;-0.0193631;7.34575e-07;1.42649e-07;171;1,78302e-11; ;NIE
Rosenbrock;1;-0.646644;0.691338;-0.774716;0.774717;229;1,23967; ;NIE
Rosenbrock;1;-0.252121;0.14354;0.774716;-1.75264e-06;215;0,619837; ;NIE
Rosenbrock;1;0.96994;-0.434063;0.774717;0.774716;181;1,23967; ;NIE
Rosenbrock;1;-0.135776;0.672163;6.18938e-07;5.8e-07;99;2,29101e-11; ;NIE
Rosenbrock;1;-0.0365619;-0.490893;6.30106e-07;8.13327e-07;153;3,37064e-11; ;NIE
Rosenbrock;1;-0.423209;0.377937;-6.13464e-07;1.82448e-06;107;1,17979e-10; ;NIE
Rosenbrock;1;-0.82122;-0.867965;-0.774715;4.54696e-07;235;0,619837; ;NIE
Rosenbrock;1;-0.879298;0.850099;1.75645e-07;0.774714;123;0,619837; ;NIE
Rosenbrock;1;0.158424;-0.369651;-2.4953e-07;0.774717;215;0,619837; ;NIE
Rosenbrock;1;0.0138956;-0.713454;-1.5684e-07;-0.774716;175;0,619837; ;NIE
