Metoda;D³ugoœæ kroku;x0(1);x0(2);x(1);x(2);f_calls;Minimum Globalne;Sukces
Hooke-Jeeves;0.5;0.271108;0.818993;0.774715;0.774716;193;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.633471;0.894912;0.774715;0.774717;184;1,23967; ;TAK
Hooke-Jeeves;0.5;0.86282;0.405365;0.774715;0.774715;166;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.204803;0.473056;-0.774717;0.774715;192;1,23967; ;TAK
Hooke-Jeeves;0.5;0.883017;0.644821;0.774716;2.32636e-07;218;0,619837; ;TAK
Hooke-Jeeves;0.5;0.78658;-0.868216;0.774716;-0.774715;155;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.178002;0.828281;0.774715;0.774715;241;1,23967; ;TAK
Hooke-Jeeves;0.5;0.326732;-0.160955;0.774717;0.774716;192;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.794421;-0.991286;-0.774716;-5.21083e-07;174;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.568709;0.543713;0.774716;1.32765e-07;198;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.155627;-0.5539;0.774715;0.774716;205;1,23967; ;TAK
Hooke-Jeeves;0.5;0.213541;-0.0816693;1.5484;-4.52851e-07;207;2,47854; ;TAK
Hooke-Jeeves;0.5;0.623464;0.720421;-3.65618e-07;0.774715;185;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.848322;-0.675996;-0.774715;0.774716;195;1,23967; ;TAK
Hooke-Jeeves;0.5;0.413823;0.857456;0.774716;0.774715;201;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.499891;-0.84886;4.76893e-07;-0.774715;162;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.67978;0.269839;0.774716;0.774716;198;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.324901;-0.567527;7.33753e-07;0.774716;195;0,619837; ;TAK
Hooke-Jeeves;0.5;0.125343;0.964261;-6.51683e-07;0.774716;154;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.499614;-0.156056;8.0709e-07;0.774715;186;0,619837; ;TAK
Hooke-Jeeves;0.5;0.596337;0.454494;7.27505e-07;0.774715;193;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.0449282;-0.246878;-5.85899e-07;-0.774716;167;0,619837; ;TAK
Hooke-Jeeves;0.5;-0.824728;-0.524363;-0.774715;0.774715;174;1,23967; ;TAK
Hooke-Jeeves;0.5;-0.0449222;-0.0396996;-3.16791e-07;-7.68671e-08;162;3,38352e-12; ;TAK
